name,task,condition,repeat,wallMs,turns,costUsd,inputTokens,outputTokens,cacheCreate,cacheRead,grounded,useful
debug__brief__0,debug,brief,0,30463,1,0.1612515,6,637,21926,16518,4,4
debug__brief__1,debug,brief,1,28539,1,0.16174525,6,630,22033,16518,4,4
debug__brief__2,debug,brief,2,26304,1,0.162614,6,644,22116,16518,4,4
debug__brief__3,debug,brief,3,36466,1,0.17338275,6,1074,22119,16518,3,5
debug__brief__4,debug,brief,4,27758,1,0.16442649999999998,6,727,22074,16518,4,5
debug__no-context__0,debug,no-context,0,39283,3,0.4468515,13,1094,62764,54323,4,5
debug__no-context__1,debug,no-context,1,30652,3,0.355367,13,903,47560,70954,5,5
debug__no-context__2,debug,no-context,2,35411,1,0.16109525000000002,6,911,20805,16518,4,4
debug__no-context__3,debug,no-context,3,27778,3,0.36237575,13,1054,48077,70959,5,5
debug__no-context__4,debug,no-context,4,55592,3,0.47753500000000004,13,1017,68348,49740,5,5
debug__raw-memory__0,debug,raw-memory,0,27193,1,0.21507025,6,680,30365,16518,5,5
debug__raw-memory__1,debug,raw-memory,1,28370,1,0.220039,6,863,30428,16518,5,5
debug__raw-memory__2,debug,raw-memory,2,29304,1,0.219514,6,712,30948,16518,4,5
debug__raw-memory__3,debug,raw-memory,3,27241,1,0.2160765,6,698,30454,16518,5,5
debug__raw-memory__4,debug,raw-memory,4,28075,3,0.478636,13,779,67014,80517,4,4
planning__brief__0,planning,brief,0,41307,4,0.23762999999999998,9,1027,23280,132820,1,3
planning__brief__1,planning,brief,1,34414,1,0.16167649999999997,6,605,22122,16518,,
planning__brief__2,planning,brief,2,24589,1,0.16660775,6,827,22023,16518,,
planning__brief__3,planning,brief,3,20168,1,0.16028275,6,560,22079,16518,,
planning__brief__4,planning,brief,4,24459,1,0.16414525000000002,6,738,21985,16518,,
planning__no-context__0,planning,no-context,0,39424,4,0.23468775,9,1237,22197,129973,,
planning__no-context__1,planning,no-context,1,31957,3,0.21505749999999998,8,1403,21488,91285,,
planning__no-context__2,planning,no-context,2,33380,4,0.23778449999999998,9,1466,21852,129029,,
planning__no-context__3,planning,no-context,3,21155,2,0.1725095,7,539,21132,53849,,
planning__no-context__4,planning,no-context,4,34798,2,0.1863535,7,1008,21476,53787,,
planning__raw-memory__0,planning,raw-memory,0,43465,3,0.2866335,8,1282,31846,111012,,
planning__raw-memory__1,planning,raw-memory,1,84351,1,0.231289,6,1327,30372,16518,,
planning__raw-memory__2,planning,raw-memory,2,57216,1,0.22160149999999998,6,937,30382,16518,,
planning__raw-memory__3,planning,raw-memory,3,20609,1,0.21697025,6,613,30937,16518,,
planning__raw-memory__4,planning,raw-memory,4,19459,1,0.21323275,6,583,30459,16518,,
recall__brief__0,recall,brief,0,46947,3,0.24142825,8,1580,24631,95889,,
recall__brief__1,recall,brief,1,55775,5,0.3036485,10,2246,25310,178522,,
recall__brief__2,recall,brief,2,43995,3,0.24357575,8,1650,24675,96134,,
recall__brief__3,recall,brief,3,40777,3,0.24121474999999998,8,1567,24637,96037,,
recall__brief__4,recall,brief,4,49347,4,0.27271375000000003,9,1974,24909,135275,,
recall__no-context__0,recall,no-context,0,56268,4,0.22637075,7,1823,24621,53759,,
recall__no-context__1,recall,no-context,1,42066,4,0.22963899999999998,7,1896,24852,53758,,
recall__no-context__2,recall,no-context,2,61078,3,0.21599875,7,1698,23457,53815,,
recall__no-context__3,recall,no-context,3,81105,3,0.20991624999999997,7,1443,23501,53850,,
recall__no-context__4,recall,no-context,4,46006,3,0.21671475,7,1664,23705,53847,,
recall__raw-memory__0,recall,raw-memory,0,84702,2,0.27352774999999996,7,1451,32883,63398,,
recall__raw-memory__1,recall,raw-memory,1,108555,3,0.2932975,7,2000,33796,64075,,
recall__raw-memory__2,recall,raw-memory,2,88229,3,0.31343924999999995,8,1829,33917,111386,,
recall__raw-memory__3,recall,raw-memory,3,96564,3,0.30589,8,1529,33738,113525,,
recall__raw-memory__4,recall,raw-memory,4,82958,2,0.27175375,7,1354,32981,63475,,
